car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-43,Brand-B,Sold,TRUE,2020-09-01,2020-11-05,65
Car No-44,Brand-F,Sold,TRUE,2020-09-17,2020-12-31,105
Car No-45,Brand-B,Sold,TRUE,2020-10-11,2021-01-23,104
Car No-46,Brand-I,Sold,TRUE,2020-10-14,2021-03-25,162
Car No-47,Brand-B,Sold,TRUE,2020-10-25,2020-12-15,51
Car No-48,Brand-C,Sold,TRUE,2020-11-25,2021-01-07,43
Car No-49,Brand-I,Sold,TRUE,2020-12-07,2021-03-06,89
Car No-50,Brand-D,Not Sold,TRUE,2020-12-17,,
Car No-51,Brand-B,Not Sold,TRUE,2021-01-03,,
Car No-52,Brand-E,Not Sold,TRUE,2021-01-19,,
Car No-53,Brand-K,Sold,TRUE,2021-02-07,2021-04-28,80
Car No-54,Brand-I,Sold,TRUE,2021-03-03,2021-05-30,88
Car No-55,Brand-C,Not Sold,TRUE,2021-03-08,,
Car No-56,Brand-J,Sold,TRUE,2021-03-13,2021-04-16,34
Car No-57,Brand-B,Not Sold,TRUE,2021-03-19,,
Car No-58,Brand-I,Sold,TRUE,2021-03-23,2021-04-13,21
Car No-59,Brand-B,Not Sold,TRUE,2021-03-27,,
Car No-60,Brand-B,Not Sold,TRUE,2021-03-31,,
Car No-61,Brand-D,Not Sold,TRUE,2021-04-05,,
Car No-62,Brand-B,Sold,TRUE,2021-04-08,2021-04-30,22
Car No-63,Brand-K,Not Sold,TRUE,2021-04-14,,
Car No-64,Brand-K,Sold,TRUE,2021-04-17,2021-05-05,18
Car No-65,Brand-B,Sold,TRUE,2021-04-22,2021-05-05,13
Car No-66,Brand-K,Not Sold,TRUE,2021-04-28,,
Car No-67,Brand-B,Not Sold,TRUE,2021-05-05,,
Car No-68,Brand-B,Not Sold,TRUE,2021-05-07,,
Car No-69,Brand-K,Not Sold,TRUE,2021-05-11,,
Car No-70,Brand-C,Not Sold,TRUE,2021-05-18,,
Car No-71,Brand-B,Not Sold,TRUE,2021-06-09,,
Car No-72,Brand-J,Not Sold,TRUE,2021-06-09,,
Car No-73,Brand-B,Not Sold,TRUE,2021-06-10,,
Car No-74,Brand-I,Not Sold,TRUE,2021-06-24,,
Car No-75,Brand-B,Not Sold,TRUE,2021-06-22,,
Car No-76,Brand-C,Not Sold,TRUE,2020-08-13,,
Car No-77,Brand-B,Not Sold,FALSE,,,
Car No-78,Brand-B,Sold,TRUE,2020-09-02,2021-04-19,229
Car No-79,Brand-D,Sold,TRUE,2020-09-16,2021-03-08,173
Car No-80,Brand-D,Sold,TRUE,2020-10-07,2020-12-29,83
Car No-81,Brand-B,Sold,TRUE,2020-10-14,2021-04-29,197
Car No-82,Brand-I,Sold,TRUE,2020-10-27,2020-11-25,29
Car No-83,Brand-B,Sold,TRUE,2020-11-25,2021-02-11,78
Car No-84,Brand-B,Sold,TRUE,2020-12-07,2021-01-29,53
Car No-85,Brand-B,Sold,TRUE,2020-12-17,2021-05-21,155
Car No-86,Brand-B,Not Sold,TRUE,2021-01-03,,
Car No-87,Brand-K,Not Sold,TRUE,2021-01-19,,
Car No-88,Brand-C,Not Sold,TRUE,2021-02-10,,
Car No-89,Brand-C,Sold,TRUE,2021-02-25,2021-03-14,17
Car No-90,Brand-B,Not Sold,TRUE,2021-03-04,,
Car No-91,Brand-C,Sold,TRUE,2021-03-08,2021-04-17,40
Car No-92,Brand-C,Sold,TRUE,2021-03-13,2021-03-31,18
Car No-93,Brand-C,Not Sold,TRUE,2021-03-18,,
Car No-94,Brand-I,Not Sold,TRUE,2021-03-23,,
Car No-95,Brand-B,Not Sold,TRUE,2021-03-27,,
Car No-96,Brand-B,Not Sold,TRUE,2021-03-31,,
Car No-97,Brand-D,Not Sold,TRUE,2021-04-05,,
Car No-98,Brand-I,Not Sold,TRUE,2021-04-08,,
Car No-99,Brand-B,Sold,TRUE,2021-04-13,2021-04-23,10
Car No-100,Brand-B,Not Sold,TRUE,2021-04-17,,
Car No-101,Brand-B,Not Sold,TRUE,2021-04-22,,
Car No-102,Brand-D,Not Sold,TRUE,2021-04-29,,
Car No-103,Brand-B,Not Sold,TRUE,2021-04-28,,
Car No-104,Brand-B,Not Sold,TRUE,2021-05-08,,
Car No-105,Brand-I,Not Sold,TRUE,2021-05-28,,
Car No-106,Brand-I,Not Sold,TRUE,2021-05-21,,
Car No-107,Brand-B,Sold,TRUE,2021-05-26,2021-05-31,5
Car No-108,Brand-D,Not Sold,TRUE,2021-06-14,,
Car No-109,Brand-B,Not Sold,TRUE,2021-06-15,,
Car No-110,Brand-F,Not Sold,FALSE,,,
Car No-111,Brand-I,Not Sold,FALSE,,,
Car No-112,Brand-B,Sold,TRUE,2020-08-13,2020-09-29,47
Car No-113,Brand-I,Not Sold,FALSE,,,
Car No-114,Brand-J,Sold,TRUE,2020-08-19,2020-10-22,64
Car No-115,Brand-D,Sold,TRUE,2020-09-18,2020-11-12,55
Car No-116,Brand-C,Sold,TRUE,2020-10-07,2020-12-18,72
Car No-117,Brand-B,Sold,TRUE,2020-10-14,2020-12-16,63
Car No-118,Brand-I,Sold,TRUE,2020-10-27,2020-12-18,52
Car No-119,Brand-C,Not Sold,TRUE,2020-11-25,,
Car No-120,Brand-B,Sold,TRUE,2020-12-07,2021-01-31,55
Car No-121,Brand-D,Not Sold,TRUE,2020-12-17,,
Car No-122,Brand-A,Sold,TRUE,2021-01-03,2021-05-17,134
Car No-123,Brand-L,Sold,TRUE,2021-01-19,2021-02-19,31
Car No-124,Brand-B,Sold,TRUE,2021-02-11,2021-05-19,97
Car No-125,Brand-C,Sold,TRUE,2021-02-25,2021-03-16,19
Car No-126,Brand-B,Sold,TRUE,2021-03-04,2021-05-11,68
Car No-127,Brand-K,Sold,TRUE,2021-03-09,2021-04-15,37
Car No-128,Brand-C,Not Sold,TRUE,2021-03-13,,
Car No-129,Brand-B,Not Sold,TRUE,2021-03-18,,
Car No-130,Brand-C,Sold,TRUE,2021-03-23,2021-05-20,58
Car No-131,Brand-B,Not Sold,TRUE,2021-03-27,,
Car No-132,Brand-B,Not Sold,TRUE,2021-03-31,,
Car No-133,Brand-B,Not Sold,TRUE,2021-04-05,,
Car No-134,Brand-C,Not Sold,TRUE,2021-04-08,,
Car No-135,Brand-I,Not Sold,TRUE,2021-04-13,,
Car No-136,Brand-I,Not Sold,TRUE,2021-04-17,,
Car No-137,Brand-I,Not Sold,TRUE,2021-04-23,,
Car No-138,Brand-I,Not Sold,TRUE,2021-04-27,,
Car No-139,Brand-C,Not Sold,TRUE,2021-04-28,,
Car No-140,Brand-I,Not Sold,TRUE,2021-05-31,,
Car No-141,Brand-B,Not Sold,TRUE,2021-05-16,,
Car No-142,Brand-B,Not Sold,TRUE,2021-05-24,,
Car No-143,Brand-D,Not Sold,TRUE,2021-06-14,,
Car No-144,Brand-L,Not Sold,TRUE,2021-05-28,,
Car No-145,Brand-D,Not Sold,TRUE,2021-06-19,,
Car No-146,Brand-K,Not Sold,FALSE,,,
Car No-147,Brand-C,Not Sold,TRUE,2021-06-14,,
Car No-148,Brand-C,Sold,TRUE,2020-08-13,2021-01-12,152
Car No-149,Brand-B,Not Sold,FALSE,,,
Car No-150,Brand-D,Sold,TRUE,2020-08-13,2020-09-08,26
Car No-151,Brand-E,Sold,TRUE,2020-08-18,2020-09-30,43
Car No-152,Brand-C,Sold,TRUE,2020-09-14,2020-10-07,23
Car No-153,Brand-C,Sold,TRUE,2020-10-06,2020-11-12,37
Car No-154,Brand-C,Sold,TRUE,2020-10-14,2020-12-24,71
Car No-155,Brand-I,Sold,TRUE,2020-10-27,2020-12-02,36
Car No-156,Brand-B,Sold,TRUE,2020-11-25,2021-03-16,111
Car No-157,Brand-B,Sold,TRUE,2020-12-07,2021-03-12,95
Car No-158,Brand-C,Sold,TRUE,2020-12-17,2021-02-04,49
Car No-159,Brand-B,Not Sold,TRUE,2021-01-04,,
Car No-160,Brand-B,Sold,TRUE,2021-01-19,2021-02-24,36
Car No-161,Brand-C,Not Sold,TRUE,2021-02-15,,
Car No-162,Brand-C,Not Sold,TRUE,2021-02-25,,
Car No-163,Brand-B,Sold,TRUE,2021-03-04,2021-05-04,61
Car No-164,Brand-B,Sold,TRUE,2021-03-09,2021-05-22,74
Car No-165,Brand-C,Sold,TRUE,2021-03-13,2021-05-10,58
Car No-166,Brand-D,Not Sold,TRUE,2021-03-18,,
Car No-167,Brand-C,Not Sold,TRUE,2021-03-23,,
Car No-168,Brand-B,Not Sold,TRUE,2021-03-27,,
Car No-169,Brand-C,Sold,TRUE,2021-03-31,2021-05-26,56
Car No-170,Brand-M,Not Sold,TRUE,2021-04-05,,
Car No-171,Brand-C,Not Sold,TRUE,2021-04-08,,
Car No-172,Brand-D,Sold,TRUE,2021-04-13,2021-04-26,13
Car No-173,Brand-B,Sold,TRUE,2021-04-17,2021-05-11,24
Car No-174,Brand-L,Not Sold,TRUE,2021-04-23,,
Car No-175,Brand-B,Sold,TRUE,2021-04-29,2021-05-28,29
Car No-176,Brand-N,Not Sold,TRUE,2021-05-02,,
Car No-177,Brand-D,Not Sold,TRUE,2021-05-08,,
Car No-178,Brand-F,Not Sold,TRUE,2021-05-21,,
Car No-179,Brand-L,Not Sold,TRUE,2021-05-29,,
Car No-180,Brand-J,Not Sold,TRUE,2021-05-26,,
Car No-181,Brand-I,Not Sold,FALSE,,,
Car No-182,Brand-B,Not Sold,FALSE,,,
Car No-183,Brand-C,Not Sold,TRUE,2021-06-17,,
Car No-184,Brand-G,Not Sold,FALSE,,,
Car No-185,Brand-C,Sold,TRUE,2020-08-12,2020-10-08,57
Car No-186,Brand-B,Not Sold,FALSE,,,
Car No-187,Brand-C,Sold,TRUE,2020-08-13,2021-02-07,178
Car No-188,Brand-D,Sold,TRUE,2020-08-24,2020-11-16,84
Car No-189,Brand-H,Sold,TRUE,2020-09-18,2020-10-13,25
Car No-190,Brand-L,Sold,TRUE,2020-10-07,2020-11-03,27
Car No-191,Brand-C,Sold,TRUE,2020-10-14,2021-03-23,160
Car No-192,Brand-L,Sold,TRUE,2020-10-27,2021-03-30,154
Car No-193,Brand-B,Sold,TRUE,2020-11-25,2021-03-06,101
Car No-194,Brand-B,Sold,TRUE,2020-12-08,2021-04-16,129
Car No-195,Brand-I,Not Sold,TRUE,2020-12-17,,
Car No-196,Brand-K,Sold,TRUE,2021-01-05,2021-02-08,34
Car No-197,Brand-O,Not Sold,TRUE,2021-01-19,,
Car No-198,Brand-B,Sold,TRUE,2021-02-15,2021-03-19,32
Car No-199,Brand-C,Sold,TRUE,2021-02-25,2021-03-19,22
Car No-200,Brand-B,Not Sold,TRUE,2021-03-04,,
Car No-201,Brand-G,Sold,TRUE,2021-03-09,2021-03-25,16
Car No-202,Brand-D,Not Sold,TRUE,2021-03-13,,
Car No-203,Brand-I,Sold,TRUE,2021-03-18,2021-03-31,13
Car No-204,Brand-I,Not Sold,TRUE,2021-03-23,,
Car No-205,Brand-C,Not Sold,TRUE,2021-03-27,,
Car No-206,Brand-C,Sold,TRUE,2021-03-31,2021-05-21,51
Car No-207,Brand-J,Sold,TRUE,2021-04-05,2021-04-27,22
Car No-208,Brand-D,Not Sold,TRUE,2021-04-08,,
Car No-209,Brand-K,Not Sold,TRUE,2021-04-13,,
Car No-210,Brand-C,Not Sold,TRUE,2021-04-19,,
Car No-211,Brand-B,Not Sold,TRUE,2021-04-23,,
Car No-212,Brand-C,Not Sold,TRUE,2021-05-05,,
Car No-213,Brand-B,Not Sold,TRUE,2021-05-08,,
Car No-214,Brand-J,Not Sold,TRUE,2021-05-16,,
Car No-215,Brand-I,Not Sold,TRUE,2021-05-21,,
Car No-216,Brand-K,Not Sold,FALSE,,,
Car No-217,Brand-D,Not Sold,TRUE,2021-05-29,,
Car No-218,Brand-C,Not Sold,FALSE,,,
Car No-219,Brand-D,Not Sold,TRUE,2021-06-22,,
Car No-220,Brand-B,Not Sold,TRUE,2021-06-14,,
Car No-221,Brand-B,Sold,TRUE,2020-08-12,2021-03-31,231
Car No-222,Brand-M,Not Sold,FALSE,,,
Car No-223,Brand-D,Sold,TRUE,2020-08-13,2021-03-13,212
Car No-224,Brand-P,Sold,FALSE,,2020-08-26,44069
Car No-225,Brand-G,Sold,TRUE,2020-09-18,2020-12-24,97
Car No-226,Brand-C,Sold,TRUE,2020-10-07,2021-05-12,217
Car No-227,Brand-I,Sold,TRUE,2020-10-14,2020-12-31,78
Car No-228,Brand-I,Sold,TRUE,2020-10-27,2021-01-08,73
Car No-229,Brand-C,Sold,TRUE,2020-11-26,2021-02-08,74
Car No-230,Brand-K,Sold,TRUE,2020-12-08,2021-05-31,174
Car No-231,Brand-B,Not Sold,TRUE,2020-12-18,,
Car No-232,Brand-D,Not Sold,TRUE,2021-01-05,,
Car No-233,Brand-B,Not Sold,TRUE,2021-01-19,,
Car No-234,Brand-L,Sold,TRUE,2021-02-15,2021-02-24,9
Car No-235,Brand-I,Sold,TRUE,2021-02-25,2021-05-07,71
Car No-236,Brand-B,Sold,TRUE,2021-03-04,2021-04-15,42
Car No-237,Brand-L,Sold,TRUE,2021-03-09,2021-04-30,52
Car No-238,Brand-B,Not Sold,TRUE,2021-03-13,,
Car No-239,Brand-B,Sold,TRUE,2021-03-18,2021-05-26,69
Car No-240,Brand-B,Not Sold,TRUE,2021-03-24,,
Car No-241,Brand-K,Sold,TRUE,2021-03-27,2021-05-30,64
Car No-242,Brand-C,Sold,TRUE,2021-04-01,2021-04-20,19
Car No-243,Brand-I,Not Sold,TRUE,2021-04-09,,
Car No-244,Brand-M,Sold,TRUE,2021-04-09,2021-04-21,12
Car No-245,Brand-J,Sold,TRUE,2021-04-13,2021-05-08,25
Car No-246,Brand-C,Sold,TRUE,2021-04-19,2021-05-10,21
Car No-247,Brand-L,Not Sold,TRUE,2021-04-23,,
Car No-248,Brand-J,Not Sold,TRUE,2021-04-28,,
Car No-249,Brand-C,Not Sold,TRUE,2021-04-29,,
Car No-250,Brand-D,Not Sold,TRUE,2021-05-04,,
Car No-251,Brand-J,Not Sold,TRUE,2021-05-18,,
Car No-252,Brand-J,Not Sold,TRUE,2021-05-29,,
Car No-253,Brand-O,Not Sold,FALSE,,,
Car No-254,Brand-L,Not Sold,TRUE,2021-05-26,,
Car No-255,Brand-M,Not Sold,TRUE,2021-06-09,,
Car No-256,Brand-C,Not Sold,TRUE,2021-06-23,,
Car No-257,Brand-B,Not Sold,TRUE,2021-06-15,,
Car No-258,Brand-C,Sold,TRUE,2020-08-12,2020-09-28,47
Car No-259,Brand-K,Not Sold,FALSE,,,
Car No-260,Brand-B,Sold,TRUE,2020-08-14,2020-09-30,47
Car No-261,Brand-I,Not Sold,TRUE,2020-09-07,,
Car No-262,Brand-D,Sold,TRUE,2020-09-19,2021-05-20,243
Car No-263,Brand-D,Sold,TRUE,2020-10-07,2021-02-26,142
Car No-264,Brand-B,Sold,TRUE,2020-10-14,2020-11-23,40
Car No-265,Brand-D,Sold,TRUE,2020-11-05,2020-12-31,56
Car No-266,Brand-D,Sold,TRUE,2020-11-26,2021-01-28,63
Car No-267,Brand-Q,Sold,TRUE,2020-12-08,2020-12-31,23
Car No-268,Brand-C,Sold,TRUE,2020-12-18,2021-05-01,134
Car No-269,Brand-K,Not Sold,TRUE,2021-01-06,,
Car No-270,Brand-B,Not Sold,TRUE,2021-01-20,,
Car No-271,Brand-C,Sold,TRUE,2021-02-15,2021-05-22,96
Car No-272,Brand-B,Sold,TRUE,2021-02-26,2021-03-30,32
Car No-273,Brand-C,Not Sold,TRUE,2021-03-04,,
Car No-274,Brand-B,Not Sold,TRUE,2021-03-09,,
Car No-275,Brand-J,Not Sold,TRUE,2021-03-13,,
Car No-276,Brand-I,Not Sold,TRUE,2021-03-18,,
Car No-277,Brand-K,Sold,TRUE,2021-03-24,2021-05-11,48
Car No-278,Brand-B,Sold,TRUE,2021-03-27,2021-05-12,46
Car No-279,Brand-D,Sold,TRUE,2021-04-01,2021-05-27,56
Car No-280,Brand-B,Not Sold,TRUE,2021-04-05,,
Car No-281,Brand-B,Not Sold,TRUE,2021-04-09,,
Car No-282,Brand-I,Not Sold,TRUE,2021-04-13,,
Car No-283,Brand-C,Not Sold,TRUE,2021-04-19,,
Car No-284,Brand-I,Sold,TRUE,2021-04-23,2021-05-23,30
Car No-285,Brand-I,Not Sold,TRUE,2021-04-27,,
Car No-286,Brand-D,Not Sold,TRUE,2021-04-30,,
Car No-287,Brand-I,Not Sold,TRUE,2021-05-24,,
Car No-288,Brand-N,Not Sold,TRUE,2021-05-18,,
Car No-289,Brand-C,Not Sold,TRUE,2021-05-25,,
Car No-290,Brand-L,Not Sold,FALSE,,,
Car No-291,Brand-K,Not Sold,TRUE,2021-06-16,,
Car No-292,Brand-B,Not Sold,TRUE,2021-06-15,,
Car No-293,Brand-I,Not Sold,FALSE,,,
Car No-294,Brand-D,Not Sold,TRUE,2021-06-15,,
Car No-295,Brand-B,Sold,TRUE,2020-08-13,2021-02-26,197
Car No-296,Brand-K,Not Sold,FALSE,,,
Car No-297,Brand-B,Sold,TRUE,2020-08-19,2020-09-12,24
Car No-298,Brand-B,Sold,TRUE,2020-08-26,2020-09-03,8
Car No-299,Brand-C,Sold,TRUE,2020-09-22,2020-11-20,59
Car No-300,Brand-B,Sold,TRUE,2020-10-08,2021-04-03,177
Car No-301,Brand-B,Sold,TRUE,2020-10-14,2020-12-09,56
Car No-302,Brand-C,Sold,TRUE,2020-11-13,2021-02-05,84
Car No-303,Brand-C,Not Sold,TRUE,2020-11-27,,
Car No-304,Brand-B,Sold,TRUE,2020-12-08,2021-03-24,106
Car No-305,Brand-K,Not Sold,TRUE,2020-12-21,,
Car No-306,Brand-C,Not Sold,TRUE,2021-01-06,,
Car No-307,Brand-D,Sold,TRUE,2021-01-21,2021-04-09,78
Car No-308,Brand-B,Not Sold,TRUE,2021-02-16,,
Car No-309,Brand-B,Not Sold,TRUE,2021-02-26,,
Car No-310,Brand-B,Sold,TRUE,2021-03-04,2021-05-22,79
Car No-311,Brand-C,Sold,TRUE,2021-03-09,2021-04-27,49
Car No-312,Brand-K,Sold,TRUE,2021-03-13,2021-03-31,18
Car No-313,Brand-B,Not Sold,TRUE,2021-03-18,,
Car No-314,Brand-J,Not Sold,TRUE,2021-03-24,,
Car No-315,Brand-B,Not Sold,TRUE,2021-03-29,,
Car No-316,Brand-B,Not Sold,TRUE,2021-04-01,,
Car No-317,Brand-C,Not Sold,TRUE,2021-04-05,,
Car No-318,Brand-B,Sold,TRUE,2021-04-09,2021-05-20,41
Car No-319,Brand-B,Not Sold,TRUE,2021-04-13,,
Car No-320,Brand-I,Sold,TRUE,2021-04-19,2021-05-30,41
Car No-321,Brand-B,Not Sold,TRUE,2021-04-23,,
Car No-322,Brand-J,Not Sold,TRUE,2021-04-27,,
Car No-323,Brand-B,Not Sold,TRUE,2021-04-30,,
Car No-324,Brand-I,Not Sold,TRUE,2021-05-24,,
Car No-325,Brand-D,Not Sold,TRUE,2021-05-27,,
Car No-326,Brand-B,Not Sold,TRUE,2021-05-18,,
Car No-327,Brand-K,Not Sold,TRUE,2021-06-01,,
Car No-328,Brand-B,Not Sold,TRUE,2021-05-26,,
Car No-329,Brand-C,Not Sold,FALSE,,,
Car No-330,Brand-G,Not Sold,FALSE,,,
Car No-331,Brand-I,Not Sold,TRUE,2021-06-17,,
Car No-332,Brand-C,Sold,TRUE,2020-08-12,2021-02-24,196
Car No-333,Brand-K,Not Sold,FALSE,,,
Car No-334,Brand-I,Sold,TRUE,2020-08-19,2020-12-04,107
Car No-335,Brand-G,Sold,TRUE,2020-08-30,2020-10-23,54
Car No-336,Brand-B,Sold,TRUE,2020-09-23,2020-10-16,23
Car No-337,Brand-C,Sold,TRUE,2020-10-08,2020-12-18,71
Car No-338,Brand-D,Sold,TRUE,2020-10-15,2021-04-01,168
Car No-339,Brand-C,Sold,TRUE,2020-11-13,2021-03-29,136
Car No-340,Brand-C,Not Sold,TRUE,2020-11-27,,
Car No-341,Brand-B,Not Sold,TRUE,2020-12-08,,
Car No-342,Brand-B,Sold,TRUE,2020-12-20,2021-04-16,117
Car No-343,Brand-B,Sold,TRUE,2021-01-07,2021-01-23,16
Car No-344,Brand-B,Not Sold,TRUE,2021-01-21,,
Car No-345,Brand-K,Sold,TRUE,2021-02-16,2021-04-08,51
Car No-346,Brand-I,Sold,TRUE,2021-02-26,2021-03-20,22
Car No-347,Brand-C,Sold,TRUE,2021-03-04,2021-05-08,65
Car No-348,Brand-B,Sold,TRUE,2021-03-09,2021-04-28,50
Car No-349,Brand-D,Not Sold,TRUE,2021-03-13,,
Car No-350,Brand-C,Not Sold,TRUE,2021-03-18,,
Car No-351,Brand-B,Not Sold,TRUE,2021-03-23,,
Car No-352,Brand-B,Sold,TRUE,2021-03-29,2021-05-31,63
Car No-353,Brand-B,Not Sold,TRUE,2021-04-01,,
Car No-354,Brand-K,Sold,TRUE,2021-04-05,2021-06-14,70
Car No-355,Brand-C,Sold,TRUE,2021-04-09,2021-04-30,21
Car No-356,Brand-I,Sold,TRUE,2021-04-13,2021-04-23,10
Car No-357,Brand-B,Not Sold,TRUE,2021-04-19,,
Car No-358,Brand-B,Not Sold,TRUE,2021-04-24,,
Car No-359,Brand-I,Not Sold,TRUE,2021-05-06,,
Car No-360,Brand-I,Sold,TRUE,2021-05-01,2021-05-21,20
Car No-361,Brand-I,Not Sold,TRUE,2021-05-19,,
Car No-362,Brand-C,Not Sold,TRUE,2021-05-16,,
Car No-363,Brand-B,Not Sold,TRUE,2021-05-21,,
Car No-364,Brand-C,Not Sold,TRUE,2021-05-27,,
Car No-365,Brand-I,Not Sold,TRUE,2021-05-27,,
Car No-366,Brand-K,Not Sold,TRUE,2021-06-15,,
Car No-367,Brand-C,Not Sold,TRUE,2021-06-17,,
Car No-368,Brand-B,Not Sold,TRUE,2021-06-16,,
Car No-369,Brand-C,Sold,TRUE,2020-08-13,2020-09-09,27
Car No-370,Brand-I,Not Sold,FALSE,,,
Car No-371,Brand-J,Sold,TRUE,2020-08-17,2020-10-21,65
Car No-372,Brand-C,Sold,TRUE,2020-08-30,2020-10-26,57
Car No-373,Brand-B,Sold,TRUE,2020-09-25,2021-05-31,248
Car No-374,Brand-B,Sold,TRUE,2020-10-12,2020-11-19,38
Car No-375,Brand-G,Sold,TRUE,2020-10-15,2020-12-31,77
Car No-376,Brand-B,Sold,TRUE,2020-11-13,2021-02-16,95
Car No-377,Brand-B,Sold,TRUE,2020-11-27,2020-12-08,11
Car No-378,Brand-K,Not Sold,TRUE,2020-12-09,,
Car No-379,Brand-B,Sold,TRUE,2020-12-20,2021-05-18,149
Car No-380,Brand-D,Not Sold,TRUE,2021-01-07,,
Car No-381,Brand-O,Sold,TRUE,2021-01-22,2021-05-07,105
Car No-382,Brand-C,Not Sold,TRUE,2021-02-16,,
Car No-383,Brand-B,Sold,TRUE,2021-02-26,2021-05-26,89
Car No-384,Brand-I,Sold,TRUE,2021-03-04,2021-04-18,45
Car No-385,Brand-C,Not Sold,TRUE,2021-03-09,,
Car No-386,Brand-D,Not Sold,TRUE,2021-03-14,,
Car No-387,Brand-G,Not Sold,TRUE,2021-03-19,,
Car No-388,Brand-I,Not Sold,TRUE,2021-03-23,,
Car No-389,Brand-C,Not Sold,TRUE,2021-03-29,,
Car No-390,Brand-B,Not Sold,TRUE,2021-04-01,,
Car No-391,Brand-B,Sold,TRUE,2021-04-05,2021-05-11,36
Car No-392,Brand-B,Not Sold,TRUE,2021-04-09,,
Car No-393,Brand-B,Not Sold,TRUE,2021-04-15,,
Car No-394,Brand-I,Sold,TRUE,2021-04-19,2021-05-17,28
Car No-395,Brand-C,Not Sold,TRUE,2021-04-25,,
Car No-396,Brand-B,Not Sold,TRUE,2021-04-27,,
Car No-397,Brand-B,Not Sold,TRUE,2021-05-01,,
Car No-398,Brand-K,Not Sold,TRUE,2021-05-23,,
Car No-399,Brand-G,Not Sold,TRUE,2021-05-19,,
Car No-400,Brand-K,Not Sold,TRUE,2021-05-19,,
Car No-401,Brand-B,Not Sold,TRUE,2021-05-25,,
Car No-402,Brand-C,Not Sold,TRUE,2021-05-26,,
Car No-403,Brand-I,Not Sold,FALSE,,,
Car No-404,Brand-K,Not Sold,TRUE,2021-06-20,,
Car No-405,Brand-B,Not Sold,FALSE,,,
Car No-406,Brand-C,Sold,TRUE,2020-08-12,2020-09-24,43
Car No-407,Brand-P,Not Sold,FALSE,,,
Car No-408,Brand-C,Sold,TRUE,2020-08-17,2020-10-13,57
Car No-409,Brand-D,Sold,TRUE,2020-08-27,2020-12-30,125
Car No-410,Brand-K,Sold,TRUE,2020-09-25,2021-01-29,126
Car No-411,Brand-J,Sold,TRUE,2020-10-12,2020-12-24,73
Car No-412,Brand-B,Sold,TRUE,2020-10-15,2021-05-12,209
Car No-413,Brand-I,Sold,TRUE,2020-11-14,2021-02-19,97
Car No-414,Brand-C,Sold,TRUE,2020-11-27,2021-05-12,166
Car No-415,Brand-B,Sold,TRUE,2020-12-09,2021-05-29,171
Car No-416,Brand-C,Not Sold,TRUE,2020-12-20,,
Car No-417,Brand-B,Sold,TRUE,2021-01-07,2021-01-31,24
Car No-418,Brand-N,Sold,TRUE,2021-01-21,2021-03-27,65
Car No-419,Brand-P,Not Sold,TRUE,2021-02-17,,
Car No-420,Brand-J,Sold,TRUE,2021-02-26,2021-03-25,27
Car No-421,Brand-C,Not Sold,TRUE,2021-03-04,,
Car No-422,Brand-C,Sold,TRUE,2021-03-10,2021-04-07,28
Car No-423,Brand-C,Not Sold,TRUE,2021-03-14,,
Car No-424,Brand-K,Not Sold,TRUE,2021-03-19,,
Car No-425,Brand-I,Sold,TRUE,2021-03-24,2021-04-12,19
Car No-426,Brand-C,Sold,TRUE,2021-03-29,2021-05-11,43
Car No-427,Brand-B,Sold,TRUE,2021-04-01,2021-06-18,78
Car No-428,Brand-B,Sold,TRUE,2021-04-06,2021-04-23,17
Car No-429,Brand-K,Sold,TRUE,2021-04-09,2021-04-23,14
Car No-430,Brand-C,Not Sold,TRUE,2021-04-14,,
Car No-431,Brand-C,Sold,TRUE,2021-04-19,2021-05-09,20
Car No-432,Brand-I,Not Sold,TRUE,2021-04-25,,
Car No-433,Brand-C,Not Sold,TRUE,2021-05-01,,
Car No-434,Brand-B,Not Sold,TRUE,2021-05-01,,
Car No-435,Brand-C,Sold,TRUE,2021-05-05,2021-05-24,19
Car No-436,Brand-J,Not Sold,TRUE,2021-05-18,,
Car No-437,Brand-K,Not Sold,TRUE,2021-05-24,,
Car No-438,Brand-I,Not Sold,TRUE,2021-06-05,,
Car No-439,Brand-I,Not Sold,TRUE,2021-05-27,,
Car No-440,Brand-I,Not Sold,TRUE,2021-06-22,,
Car No-441,Brand-B,Not Sold,TRUE,2021-06-16,,
Car No-442,Brand-D,Not Sold,TRUE,2021-06-18,,
Car No-443,Brand-C,Sold,TRUE,2020-08-13,2021-01-25,165
Car No-444,Brand-B,Not Sold,FALSE,,,
Car No-445,Brand-B,Sold,TRUE,2020-08-19,2020-08-24,5
Car No-446,Brand-C,Sold,TRUE,2020-09-07,2020-12-04,88
Car No-447,Brand-I,Sold,TRUE,2020-09-29,2021-03-16,168
Car No-448,Brand-B,Sold,TRUE,2020-10-09,2021-03-31,173
Car No-449,Brand-B,Sold,TRUE,2020-10-17,2020-10-29,12
Car No-450,Brand-D,Sold,TRUE,2020-11-14,2020-12-12,28
Car No-451,Brand-B,Not Sold,TRUE,2020-11-27,,
Car No-452,Brand-P,Sold,TRUE,2020-12-09,2020-12-23,14
Car No-453,Brand-B,Sold,TRUE,2020-12-20,2021-05-11,142
Car No-454,Brand-B,Not Sold,TRUE,2021-01-07,,
