car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-1092,Brand-B,Sold,TRUE,2021-03-02,2021-04-16,45
Car No-1093,Brand-C,Sold,TRUE,2021-03-07,2021-05-21,75
Car No-1094,Brand-C,Sold,TRUE,2021-03-12,2021-05-07,56
Car No-1095,Brand-I,Sold,TRUE,2021-03-17,2021-03-31,14
Car No-1096,Brand-B,Sold,TRUE,2021-03-22,2021-04-17,26
Car No-1097,Brand-C,Not Sold,TRUE,2021-03-25,,
Car No-1098,Brand-B,Sold,TRUE,2021-03-30,2021-04-23,24
Car No-1099,Brand-B,Not Sold,TRUE,2021-04-03,,
Car No-1100,Brand-D,Not Sold,TRUE,2021-04-07,,
Car No-1101,Brand-B,Not Sold,TRUE,2021-04-12,,
Car No-1102,Brand-I,Sold,TRUE,2021-04-16,2021-04-29,13
Car No-1103,Brand-B,Not Sold,TRUE,2021-04-21,,
Car No-1104,Brand-B,Not Sold,TRUE,2021-05-01,,
Car No-1105,Brand-C,Sold,TRUE,2021-05-06,2021-05-29,23
Car No-1106,Brand-B,Not Sold,TRUE,2021-05-03,,
Car No-1107,Brand-L,Not Sold,TRUE,2021-05-10,,
Car No-1108,Brand-A,Not Sold,TRUE,2021-05-16,,
Car No-1109,Brand-B,Not Sold,TRUE,2021-05-21,,
Car No-1110,Brand-K,Not Sold,TRUE,2021-05-25,,
Car No-1111,Brand-I,Not Sold,TRUE,2021-06-19,,
Car No-1112,Brand-L,Not Sold,TRUE,2021-06-23,,
Car No-1113,Brand-I,Not Sold,FALSE,,,
Car No-1114,Brand-B,Sold,TRUE,2020-08-11,2020-09-04,24
Car No-1115,Brand-C,Not Sold,FALSE,,,
Car No-1116,Brand-D,Sold,TRUE,2020-08-13,2021-01-23,163
Car No-1117,Brand-B,Not Sold,FALSE,,,
Car No-1118,Brand-B,Sold,TRUE,2020-09-01,2021-03-03,183
Car No-1119,Brand-B,Sold,TRUE,2020-09-15,2020-11-07,53
Car No-1120,Brand-B,Sold,TRUE,2020-10-01,2021-03-23,173
Car No-1121,Brand-D,Sold,TRUE,2020-10-13,2021-05-08,207
Car No-1122,Brand-H,Sold,TRUE,2020-10-22,2020-11-07,16
Car No-1123,Brand-C,Not Sold,TRUE,2020-11-24,,
Car No-1124,Brand-C,Sold,TRUE,2020-12-03,2021-04-22,140
Car No-1125,Brand-B,Sold,TRUE,2020-12-15,2021-04-29,135
Car No-1126,Brand-B,Sold,TRUE,2020-12-30,2021-02-26,58
Car No-1127,Brand-B,Not Sold,TRUE,2021-01-14,,
Car No-1128,Brand-B,Sold,TRUE,2021-02-06,2021-03-09,31
Car No-1129,Brand-B,Sold,TRUE,2021-02-23,2021-04-16,52
Car No-1130,Brand-D,Not Sold,TRUE,2021-03-02,,
Car No-1131,Brand-C,Not Sold,TRUE,2021-03-08,,
Car No-1132,Brand-D,Sold,TRUE,2021-03-12,2021-04-22,41
Car No-1133,Brand-J,Not Sold,TRUE,2021-03-17,,
Car No-1134,Brand-I,Not Sold,TRUE,2021-03-22,,
Car No-1135,Brand-B,Not Sold,TRUE,2021-03-26,,
Car No-1136,Brand-B,Not Sold,TRUE,2021-03-30,,
Car No-1137,Brand-K,Sold,TRUE,2021-04-03,2021-04-19,16
Car No-1138,Brand-B,Not Sold,TRUE,2021-04-07,,
Car No-1139,Brand-I,Sold,TRUE,2021-04-13,2021-05-18,35
Car No-1140,Brand-B,Not Sold,TRUE,2021-04-16,,
Car No-1141,Brand-I,Not Sold,TRUE,2021-04-25,,
Car No-1142,Brand-B,Not Sold,TRUE,2021-04-30,,
Car No-1143,Brand-C,Not Sold,TRUE,2021-04-29,,
Car No-1144,Brand-B,Not Sold,TRUE,2021-05-03,,
Car No-1145,Brand-G,Not Sold,TRUE,2021-05-10,,
Car No-1146,Brand-K,Not Sold,TRUE,2021-05-31,,
Car No-1147,Brand-G,Not Sold,TRUE,2021-06-04,,
Car No-1148,Brand-J,Not Sold,TRUE,2021-06-15,,
